date,raw_cpi,raw,hp_smooth_trend,hp_cycle,hamilton_cycle,hamilton_trend,bk_cycle,cf_cycle
1987/1/31,5.1,5.1,11.79211597,-6.692115966,,,,-3.04766298
1987/2/28,5.4,5.4,11.81472715,-6.414727147,,,,-2.744743118
1987/3/31,5.8,5.8,11.83728669,-6.037286691,,,,-2.531138109
1987/4/30,6.7,6.7,11.85969347,-5.159693465,,,,-2.416773153
1987/5/31,7.6,7.6,11.88179975,-4.281799753,,,,-2.395641256
1987/6/30,7.8,7.8,11.90341802,-4.103418024,,,,-2.444810224
1987/7/31,7.8,7.8,11.92432771,-4.12432771,,,,-2.525209784
1987/8/31,8.2,8.2,11.94427658,-3.744276583,,,,-2.584231971
1987/9/30,7.7,7.7,11.96298059,-4.262980586,,,,-2.559991413
1987/10/31,7.5,7.5,11.98012678,-4.480126777,,,,-2.386914104
1987/11/30,8.3,8.3,11.99536932,-3.695369316,,,,-2.002172395
1987/12/31,8.9,8.9,12.0083278,-3.108327797,0.947669659,7.952330341,,-1.352376627
1988/1/31,9.4,9.4,12.0185933,-2.618593299,0.23505336,9.16494664,-3.379410231,-0.399882262
1988/2/29,10.4,10.4,12.02573292,-1.625732917,1.897045029,8.502954971,-3.144316875,0.871917683
1988/3/31,11.3,11.3,12.02929354,-0.729293541,3.816789832,7.483210168,-2.604272333,2.454871167
1988/4/30,12.2,12.2,12.02880952,0.171190483,4.395841624,7.804158376,-1.838357546,4.314342029
1988/5/31,14.2,14.2,12.02380956,2.176190436,7.845641196,6.354358804,-0.778636751,6.389730722
1988/6/30,16.3,16.3,12.01382372,4.286176278,10.32519631,5.974803689,0.520545914,8.597285887
1988/7/31,19.2,19.2,11.99839882,7.20160118,11.29153084,7.908469157,2.021987566,10.83503874
1988/8/31,23.6,23.6,11.97711476,11.62288524,14.38656906,9.213430939,3.662737541,12.98949131
1988/9/30,26.4,26.4,11.94960702,14.45039298,16.63884083,9.761159166,5.346117538,14.94352059
1988/10/31,27.1,27.1,11.91560075,15.18439925,16.05687071,11.04312929,6.850474406,16.58484065
1988/11/30,26.8,26.8,11.87493261,14.92506739,14.80712709,11.99287291,7.991056215,17.81430538
1988/12/31,27.9,27.9,11.82755641,16.07244359,15.0868504,12.8131496,8.734960195,18.55334214
1989/1/31,27.4,27.4,11.77354112,15.62645888,11.50231295,15.89768705,9.118759806,18.74988026
1989/2/28,28.4,28.4,11.71307976,16.68692024,9.713529808,18.68647019,8.956171581,18.38227149
1989/3/31,27.1,27.1,11.64648589,15.45351411,4.386750989,22.71324901,8.360915053,17.46087826
1989/4/30,26.6,26.6,11.57420183,15.02579817,-2.469226168,29.06922617,7.312196382,16.02721358
1989/5/31,24.8,24.8,11.49678915,13.30321085,-5.786304089,30.58630409,5.895283304,14.15073261
