date,growth_value,inflation_value,growth_phase,inflation_phase,macro_state
2005/1/31,54.7,1.9,上行,下行,经济上行 + 通胀下行
2005/2/28,54.5,3.9,上行,下行,经济上行 + 通胀下行
2005/3/31,57.9,2.7,上行,下行,经济上行 + 通胀下行
2005/4/30,56.7,1.8,上行,下行,经济上行 + 通胀下行
2005/5/31,52.9,1.8,上行,下行,经济上行 + 通胀下行
2005/6/30,51.7,1.6,上行,下行,经济上行 + 通胀下行
2005/7/31,51.1,1.8,上行,下行,经济上行 + 通胀下行
2005/8/31,52.6,1.3,上行,下行,经济上行 + 通胀下行
2005/9/30,55.1,0.9,上行,下行,经济上行 + 通胀下行
2005/10/31,54.1,1.2,上行,下行,经济上行 + 通胀下行
2005/11/30,54.1,1.3,上行,下行,经济上行 + 通胀下行
2005/12/31,54.3,1.6,上行,下行,经济上行 + 通胀下行
2006/1/31,52.1,1.9,上行,下行,经济上行 + 通胀下行
2006/2/28,52.1,0.9,上行,下行,经济上行 + 通胀下行
2006/3/31,55.3,0.8,上行,上行,经济上行 + 通胀上行
2006/4/30,58.1,1.2,上行,上行,经济上行 + 通胀上行
2006/5/31,54.8,1.4,上行,上行,经济上行 + 通胀上行
2006/6/30,54.1,1.5,上行,上行,经济上行 + 通胀上行
2006/7/31,52.4,1,上行,上行,经济上行 + 通胀上行
2006/8/31,53.1,1.3,上行,上行,经济上行 + 通胀上行
2006/9/30,57,1.5,上行,上行,经济上行 + 通胀上行
2006/10/31,54.7,1.4,上行,上行,经济上行 + 通胀上行
2006/11/30,55.3,1.9,上行,上行,经济上行 + 通胀上行
2006/12/31,54.8,2.8,上行,上行,经济上行 + 通胀上行
2007/1/31,55.1,2.2,上行,上行,经济上行 + 通胀上行
2007/2/28,53.1,2.7,上行,上行,经济上行 + 通胀上行
2007/3/31,56.1,3.3,上行,上行,经济上行 + 通胀上行
2007/4/30,58.6,3,上行,上行,经济上行 + 通胀上行
2007/5/31,55.7,3.4,上行,上行,经济上行 + 通胀上行
2007/6/30,54.5,4.4,上行,上行,经济上行 + 通胀上行
2007/7/31,53.3,5.6,上行,上行,经济上行 + 通胀上行
2007/8/31,54,6.5,上行,上行,经济上行 + 通胀上行
2007/9/30,56.1,6.2,上行,上行,经济上行 + 通胀上行
2007/10/31,53.2,6.5,上行,上行,经济上行 + 通胀上行
2007/11/30,55.4,6.9,上行,上行,经济上行 + 通胀上行
2007/12/31,55.3,6.5,上行,上行,经济上行 + 通胀上行
2008/1/31,53,7.1,上行,上行,经济上行 + 通胀上行
2008/2/29,53.4,8.7,上行,下行,经济上行 + 通胀下行
2008/3/31,58.4,8.3,上行,下行,经济上行 + 通胀下行
2008/4/30,59.2,8.5,下行,下行,经济下行 + 通胀下行
2008/5/31,53.3,7.7,下行,下行,经济下行 + 通胀下行
2008/6/30,52,7.1,下行,下行,经济下行 + 通胀下行
2008/7/31,48.4,6.3,下行,下行,经济下行 + 通胀下行
2008/8/31,48.4,4.9,下行,下行,经济下行 + 通胀下行
2008/9/30,51.2,4.6,下行,下行,经济下行 + 通胀下行
2008/10/31,44.6,4,下行,下行,经济下行 + 通胀下行
2008/11/30,38.8,2.4,上行,下行,经济上行 + 通胀下行
2008/12/31,41.2,1.2,上行,下行,经济上行 + 通胀下行
2009/1/31,45.3,1,上行,下行,经济上行 + 通胀下行
2009/2/28,49,-1.6,上行,下行,经济上行 + 通胀下行
2009/3/31,52.4,-1.2,上行,下行,经济上行 + 通胀下行
2009/4/30,53.5,-1.5,上行,下行,经济上行 + 通胀下行
2009/5/31,53.1,-1.4,上行,下行,经济上行 + 通胀下行
2009/6/30,53.2,-1.7,上行,下行,经济上行 + 通胀下行
2009/7/31,53.3,-1.8,上行,上行,经济上行 + 通胀上行
2009/8/31,54,-1.2,上行,上行,经济上行 + 通胀上行
2009/9/30,54.3,-0.8,上行,上行,经济上行 + 通胀上行
2009/10/31,55.2,-0.5,上行,上行,经济上行 + 通胀上行
2009/11/30,55.2,0.6,上行,上行,经济上行 + 通胀上行
2009/12/31,56.6,1.9,下行,上行,经济下行 + 通胀上行
2010/1/31,55.8,1.5,下行,上行,经济下行 + 通胀上行
2010/2/28,52,2.7,下行,上行,经济下行 + 通胀上行
2010/3/31,55.1,2.4,下行,上行,经济下行 + 通胀上行
2010/4/30,55.7,2.8,下行,上行,经济下行 + 通胀上行
2010/5/31,53.9,3.1,下行,上行,经济下行 + 通胀上行
2010/6/30,52.1,2.9,下行,上行,经济下行 + 通胀上行
2010/7/31,51.2,3.3,下行,上行,经济下行 + 通胀上行
2010/8/31,51.7,3.5,下行,上行,经济下行 + 通胀上行
2010/9/30,53.8,3.6,下行,上行,经济下行 + 通胀上行
2010/10/31,54.7,4.4,下行,上行,经济下行 + 通胀上行
2010/11/30,55.2,5.1,下行,上行,经济下行 + 通胀上行
2010/12/31,53.9,4.6,下行,上行,经济下行 + 通胀上行
2011/1/31,52.9,4.9,下行,上行,经济下行 + 通胀上行
2011/2/28,52.2,4.944,下行,上行,经济下行 + 通胀上行
2011/3/31,53.4,5.383,下行,上行,经济下行 + 通胀上行
2011/4/30,52.9,5.344,下行,上行,经济下行 + 通胀上行
2011/5/31,52,5.515,下行,上行,经济下行 + 通胀上行
2011/6/30,50.9,6.355,下行,上行,经济下行 + 通胀上行
2011/7/31,50.7,6.451,下行,下行,经济下行 + 通胀下行
2011/8/31,50.9,6.151,下行,下行,经济下行 + 通胀下行
2011/9/30,51.2,6.067,下行,下行,经济下行 + 通胀下行
2011/10/31,50.4,5.495,下行,下行,经济下行 + 通胀下行
2011/11/30,49,4.225,上行,下行,经济上行 + 通胀下行
2011/12/31,50.3,4.07,上行,下行,经济上行 + 通胀下行
2012/1/31,50.5,4.5,上行,下行,经济上行 + 通胀下行
2012/2/29,51,3.2,上行,下行,经济上行 + 通胀下行
2012/3/31,53.1,3.6,上行,下行,经济上行 + 通胀下行
2012/4/30,53.3,3.4,下行,下行,经济下行 + 通胀下行
2012/5/31,50.4,3,下行,下行,经济下行 + 通胀下行
2012/6/30,50.2,2.2,下行,下行,经济下行 + 通胀下行
2012/7/31,50.1,1.8,下行,下行,经济下行 + 通胀下行
2012/8/31,49.2,2,下行,下行,经济下行 + 通胀下行
2012/9/30,49.8,1.9,下行,下行,经济下行 + 通胀下行
2012/10/31,50.2,1.7,下行,下行,经济下行 + 通胀下行
2012/11/30,50.6,2,下行,下行,经济下行 + 通胀下行
2012/12/31,50.6,2.5,下行,下行,经济下行 + 通胀下行
2013/1/31,50.4,2.0305,下行,下行,经济下行 + 通胀下行
2013/2/28,50.1,3.2198,下行,下行,经济下行 + 通胀下行
2013/3/31,50.9,2.0696,下行,下行,经济下行 + 通胀下行
2013/4/30,50.6,2.3861,下行,下行,经济下行 + 通胀下行
2013/5/31,50.8,2.0981,下行,下行,经济下行 + 通胀下行
2013/6/30,50.1,2.6684,下行,下行,经济下行 + 通胀下行
2013/7/31,50.3,2.6741,下行,下行,经济下行 + 通胀下行
2013/8/31,51,2.5666,下行,下行,经济下行 + 通胀下行
2013/9/30,51.1,3.0519,下行,下行,经济下行 + 通胀下行
2013/10/31,51.4,3.2058,下行,下行,经济下行 + 通胀下行
2013/11/30,51.4,3.018,下行,下行,经济下行 + 通胀下行
2013/12/31,51,2.4987,下行,下行,经济下行 + 通胀下行
2014/1/31,50.5,2.4861,下行,下行,经济下行 + 通胀下行
2014/2/28,50.2,1.9511,下行,下行,经济下行 + 通胀下行
2014/3/31,50.3,2.3848,下行,下行,经济下行 + 通胀下行
2014/4/30,50.4,1.8014,下行,下行,经济下行 + 通胀下行
2014/5/31,50.8,2.4773,下行,下行,经济下行 + 通胀下行
2014/6/30,51,2.3361,下行,下行,经济下行 + 通胀下行
2014/7/31,51.7,2.2852,下行,下行,经济下行 + 通胀下行
2014/8/31,51.1,1.9909,下行,下行,经济下行 + 通胀下行
2014/9/30,51.1,1.6275,下行,下行,经济下行 + 通胀下行
2014/10/31,50.8,1.6011,下行,下行,经济下行 + 通胀下行
2014/11/30,50.3,1.4393,下行,下行,经济下行 + 通胀下行
2014/12/31,50.1,1.5056,下行,下行,经济下行 + 通胀下行
2015/1/31,49.8,0.7638,下行,上行,经济下行 + 通胀上行
2015/2/28,49.9,1.4311,下行,上行,经济下行 + 通胀上行
2015/3/31,50.1,1.3758,下行,上行,经济下行 + 通胀上行
2015/4/30,50.1,1.5091,下行,上行,经济下行 + 通胀上行
2015/5/31,50.2,1.2308,下行,上行,经济下行 + 通胀上行
2015/6/30,50.2,1.3909,下行,上行,经济下行 + 通胀上行
2015/7/31,50,1.6473,下行,上行,经济下行 + 通胀上行
2015/8/31,49.7,1.9554,下行,上行,经济下行 + 通胀上行
2015/9/30,49.8,1.5956,下行,上行,经济下行 + 通胀上行
2015/10/31,49.8,1.2674,下行,上行,经济下行 + 通胀上行
2015/11/30,49.6,1.4856,下行,上行,经济下行 + 通胀上行
2015/12/31,49.7,1.6,下行,上行,经济下行 + 通胀上行
2016/1/31,49.4,1.8,下行,上行,经济下行 + 通胀上行
2016/2/29,49,2.3,上行,上行,经济上行 + 通胀上行
2016/3/31,50.2,2.301391,上行,上行,经济上行 + 通胀上行
2016/4/30,50.1,2.327865,上行,上行,经济上行 + 通胀上行
2016/5/31,50.1,2.038999,上行,上行,经济上行 + 通胀上行
2016/6/30,50,1.879503,上行,上行,经济上行 + 通胀上行
2016/7/31,49.9,1.765113,上行,上行,经济上行 + 通胀上行
2016/8/31,50.4,1.339773,上行,上行,经济上行 + 通胀上行
2016/9/30,50.4,1.920226,上行,上行,经济上行 + 通胀上行
2016/10/31,51.2,2.095947,上行,上行,经济上行 + 通胀上行
2016/11/30,51.7,2.252258,上行,上行,经济上行 + 通胀上行
2016/12/31,51.4,2.076545,上行,上行,经济上行 + 通胀上行
2017/1/31,51.3,2.549055,上行,上行,经济上行 + 通胀上行
2017/2/28,51.6,0.8,上行,上行,经济上行 + 通胀上行
2017/3/31,51.8,0.9,上行,上行,经济上行 + 通胀上行
2017/4/30,51.2,1.2,上行,上行,经济上行 + 通胀上行
2017/5/31,51.2,1.5,上行,上行,经济上行 + 通胀上行
2017/6/30,51.7,1.5,上行,上行,经济上行 + 通胀上行
2017/7/31,51.4,1.4,上行,上行,经济上行 + 通胀上行
2017/8/31,51.7,1.8,上行,上行,经济上行 + 通胀上行
2017/9/30,52.4,1.6,下行,上行,经济下行 + 通胀上行
2017/10/31,51.6,1.9,下行,上行,经济下行 + 通胀上行
2017/11/30,51.8,1.7,下行,上行,经济下行 + 通胀上行
2017/12/31,51.6,1.8,下行,上行,经济下行 + 通胀上行
2018/1/31,51.3,1.5,下行,上行,经济下行 + 通胀上行
2018/2/28,50.3,2.9,下行,下行,经济下行 + 通胀下行
2018/3/31,51.5,2.1,下行,下行,经济下行 + 通胀下行
2018/4/30,51.4,1.8,下行,下行,经济下行 + 通胀下行
2018/5/31,51.9,1.8,下行,下行,经济下行 + 通胀下行
2018/6/30,51.5,1.9,下行,下行,经济下行 + 通胀下行
2018/7/31,51.2,2.1,下行,下行,经济下行 + 通胀下行
2018/8/31,51.3,2.3,下行,下行,经济下行 + 通胀下行
2018/9/30,50.8,2.5,下行,下行,经济下行 + 通胀下行
2018/10/31,50.2,2.5,下行,下行,经济下行 + 通胀下行
2018/11/30,50,2.2,下行,下行,经济下行 + 通胀下行
2018/12/31,49.4,1.9,下行,下行,经济下行 + 通胀下行
