date,growth_value,inflation_value,growth_phase,inflation_phase,macro_state,reference_state,reference_growth_direction,reference_inflation_direction,reference_state_code,bb_growth_direction,bb_inflation_direction,bb_state,bb_state_code,growth_match,inflation_match,state_match
2005-01-31,54.7,1.9,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-02-28,54.5,3.9,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-03-31,57.9,2.7,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-04-30,56.7,1.8,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-05-31,52.9,1.8,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-06-30,51.7,1.6,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-07-31,51.1,1.8,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-08-31,52.6,1.3,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-09-30,55.1,0.9,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-10-31,54.1,1.2,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-11-30,54.1,1.3,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2005-12-31,54.3,1.6,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2006-01-31,52.1,1.9,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2006-02-28,52.1,0.9,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2006-03-31,55.3,0.8,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2006-04-30,58.1,1.2,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2006-05-31,54.8,1.4,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2006-06-30,54.1,1.5,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2006-07-31,52.4,1.0,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2006-08-31,53.1,1.3,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2006-09-30,57.0,1.5,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2006-10-31,54.7,1.4,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2006-11-30,55.3,1.9,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2006-12-31,54.8,2.8,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-01-31,55.1,2.2,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-02-28,53.1,2.7,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-03-31,56.1,3.3,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-04-30,58.6,3.0,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-05-31,55.7,3.4,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-06-30,54.5,4.4,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-07-31,53.3,5.6,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-08-31,54.0,6.5,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-09-30,56.1,6.2,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-10-31,53.2,6.5,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-11-30,55.4,6.9,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2007-12-31,55.3,6.5,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2008-01-31,53.0,7.1,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2008-02-29,53.4,8.7,上行,下行,经济上行 + 通胀下行,过热,1,1,1,1,-1,复苏,0,True,False,False
2008-03-31,58.4,8.3,上行,下行,经济上行 + 通胀下行,过热,1,1,1,1,-1,复苏,0,True,False,False
2008-04-30,59.2,8.5,下行,下行,经济下行 + 通胀下行,复苏,1,-1,0,-1,-1,衰退,3,False,True,False
2008-05-31,53.3,7.7,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2008-06-30,52.0,7.1,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2008-07-31,48.4,6.3,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2008-08-31,48.4,4.9,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2008-09-30,51.2,4.6,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2008-10-31,44.6,4.0,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2008-11-30,38.8,2.4,上行,下行,经济上行 + 通胀下行,滞涨,-1,1,2,1,-1,复苏,0,False,False,False
2008-12-31,41.2,1.2,上行,下行,经济上行 + 通胀下行,滞涨,-1,1,2,1,-1,复苏,0,False,False,False
2009-01-31,45.3,1.0,上行,下行,经济上行 + 通胀下行,滞涨,-1,1,2,1,-1,复苏,0,False,False,False
2009-02-28,49.0,-1.6,上行,下行,经济上行 + 通胀下行,衰退,-1,-1,3,1,-1,复苏,0,False,True,False
2009-03-31,52.4,-1.2,上行,下行,经济上行 + 通胀下行,衰退,-1,-1,3,1,-1,复苏,0,False,True,False
2009-04-30,53.5,-1.5,上行,下行,经济上行 + 通胀下行,衰退,-1,-1,3,1,-1,复苏,0,False,True,False
2009-05-31,53.1,-1.4,上行,下行,经济上行 + 通胀下行,衰退,-1,-1,3,1,-1,复苏,0,False,True,False
2009-06-30,53.2,-1.7,上行,下行,经济上行 + 通胀下行,衰退,-1,-1,3,1,-1,复苏,0,False,True,False
2009-07-31,53.3,-1.8,上行,上行,经济上行 + 通胀上行,衰退,-1,-1,3,1,1,过热,1,False,False,False
2009-08-31,54.0,-1.2,上行,上行,经济上行 + 通胀上行,衰退,-1,-1,3,1,1,过热,1,False,False,False
2009-09-30,54.3,-0.8,上行,上行,经济上行 + 通胀上行,衰退,-1,-1,3,1,1,过热,1,False,False,False
2009-10-31,55.2,-0.5,上行,上行,经济上行 + 通胀上行,衰退,-1,-1,3,1,1,过热,1,False,False,False
2009-11-30,55.2,0.6,上行,上行,经济上行 + 通胀上行,衰退,-1,-1,3,1,1,过热,1,False,False,False
2009-12-31,56.6,1.9,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2010-01-31,55.8,1.5,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2010-02-28,52.0,2.7,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2010-03-31,55.1,2.4,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
