date,value,phase,bb_direction,target_direction,match,bb_label,target_label
2008-12-31,8.304135,上行,1,-1,False,上行,下行
2009-01-31,8.794387,上行,1,-1,False,上行,下行
2009-02-28,9.356454,上行,1,-1,False,上行,下行
2009-03-31,10.000363,上行,1,1,True,上行,上行
2009-04-30,10.723574,上行,1,1,True,上行,上行
2009-05-31,11.499607,上行,1,1,True,上行,上行
2009-06-30,12.363628,上行,1,1,True,上行,上行
2009-07-31,13.333314,上行,1,1,True,上行,上行
2009-08-31,14.323846,上行,1,1,True,上行,上行
2009-09-30,15.22528,上行,1,1,True,上行,上行
2009-10-31,15.92989,上行,1,1,True,上行,上行
2009-11-30,16.382731,上行,1,1,True,上行,上行
2009-12-31,16.615501,上行,1,1,True,上行,上行
2010-01-31,16.670516,下行,-1,1,False,下行,上行
2010-02-28,16.566261,下行,-1,1,False,下行,上行
2010-03-31,16.351535,下行,-1,-1,True,下行,下行
2010-04-30,16.0655,下行,-1,-1,True,下行,下行
2010-05-31,15.716886,下行,-1,-1,True,下行,下行
2010-06-30,15.284587,下行,-1,-1,True,下行,下行
2010-07-31,14.778128,下行,-1,-1,True,下行,下行
2010-08-31,14.239466,下行,-1,-1,True,下行,下行
2010-09-30,13.730732,下行,-1,-1,True,下行,下行
2010-10-31,13.314849,下行,-1,-1,True,下行,下行
2010-11-30,13.071749,下行,-1,-1,True,下行,下行
2010-12-31,13.029287,上行,1,-1,False,上行,下行
2011-01-31,13.208621,上行,1,-1,False,上行,下行
2011-02-28,13.612025,上行,1,-1,False,上行,下行
2011-03-31,14.095613,上行,1,-1,False,上行,下行
2011-04-30,14.516444,上行,1,-1,False,上行,下行
2011-05-31,14.776938,上行,1,-1,False,上行,下行
2011-06-30,14.809606,下行,-1,-1,True,下行,下行
2011-07-31,14.599347,下行,-1,-1,True,下行,下行
2011-08-31,14.220523,下行,-1,-1,True,下行,下行
2011-09-30,13.787314,下行,-1,-1,True,下行,下行
2011-10-31,13.387574,下行,-1,-1,True,下行,下行
2011-11-30,13.020774,下行,-1,-1,True,下行,下行
2011-12-31,12.642725,下行,-1,-1,True,下行,下行
2012-01-31,12.164271,下行,-1,-1,True,下行,下行
2012-02-29,11.516041,下行,-1,-1,True,下行,下行
2012-03-31,10.749249,下行,-1,-1,True,下行,下行
2012-04-30,9.959004,下行,-1,-1,True,下行,下行
2012-05-31,9.25317,下行,-1,-1,True,下行,下行
2012-06-30,8.777781,下行,-1,-1,True,下行,下行
2012-07-31,8.609359,下行,-1,-1,True,下行,下行
2012-08-31,8.711264,下行,-1,-1,True,下行,下行
2012-09-30,8.967645,下行,-1,1,False,下行,上行
2012-10-31,9.212721,下行,-1,1,False,下行,上行
2012-11-30,9.331193,下行,-1,1,False,下行,上行
2012-12-31,9.284681,下行,-1,1,False,下行,上行
2013-01-31,9.099842,下行,-1,1,False,下行,上行
2013-02-28,8.872463,下行,-1,1,False,下行,上行
2013-03-31,8.727312,上行,1,1,True,上行,上行
2013-04-30,8.747018,上行,1,1,True,上行,上行
2013-05-31,8.942228,上行,1,1,True,上行,上行
2013-06-30,9.218916,上行,1,1,True,上行,上行
2013-07-31,9.453814,上行,1,1,True,上行,上行
2013-08-31,9.551234,上行,1,1,True,上行,上行
2013-09-30,9.460794,上行,1,-1,False,上行,下行
2013-10-31,9.252041,上行,1,-1,False,上行,下行
2013-11-30,9.061163,上行,1,-1,False,上行,下行
2013-12-31,8.890015,上行,1,-1,False,上行,下行
2014-01-31,9.296489,上行,1,-1,False,上行,下行
2014-02-28,10.08148,下行,-1,-1,True,下行,下行
2014-03-31,9.374231,下行,-1,-1,True,下行,下行
2014-04-30,9.027828,下行,-1,-1,True,下行,下行
2014-05-31,9.171991,下行,-1,-1,True,下行,下行
2014-06-30,9.136857,下行,-1,-1,True,下行,下行
2014-07-31,8.716936,下行,-1,-1,True,下行,下行
2014-08-31,7.847877,下行,-1,-1,True,下行,下行
2014-09-30,7.955662,下行,-1,-1,True,下行,下行
2014-10-31,7.25758,下行,-1,-1,True,下行,下行
2014-11-30,7.205785,下行,-1,-1,True,下行,下行
2014-12-31,7.406901,下行,-1,-1,True,下行,下行
2015-01-31,6.730366,下行,-1,-1,True,下行,下行
2015-02-28,5.840932,下行,-1,-1,True,下行,下行
2015-03-31,5.80168,下行,-1,-1,True,下行,下行
2015-04-30,5.91755,下行,-1,-1,True,下行,下行
2015-05-31,5.82427,下行,-1,-1,True,下行,下行
2015-06-30,5.927113,下行,-1,-1,True,下行,下行
2015-07-31,5.599394,下行,-1,-1,True,下行,下行
2015-08-31,5.760897,下行,-1,-1,True,下行,下行
2015-09-30,5.309029,下行,-1,-1,True,下行,下行
2015-10-31,5.170399,上行,1,-1,False,上行,下行
2015-11-30,5.495867,上行,1,-1,False,上行,下行
2015-12-31,5.259063,上行,1,-1,False,上行,下行
2016-01-31,5.463207,上行,1,-1,False,上行,下行
2016-02-29,5.624403,上行,1,-1,False,上行,下行
2016-03-31,6.319929,上行,1,1,True,上行,上行
2016-04-30,5.851684,上行,1,1,True,上行,上行
2016-05-31,5.847542,上行,1,1,True,上行,上行
2016-06-30,6.04345,上行,1,1,True,上行,上行
2016-07-31,6.290778,上行,1,1,True,上行,上行
2016-08-31,6.672834,上行,1,1,True,上行,上行
2016-09-30,6.62049,上行,1,1,True,上行,上行
