filter,factor,code,name,date,type,value,turn
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,1989-01-31,peak,27.900000000000002,高点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,1991-03-31,trough,1.3000000000000014,低点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,1994-10-31,peak,27.500000000000004,高点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,1999-05-31,trough,-2.1666666666666647,低点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2004-08-31,peak,5.266666666666669,高点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2006-03-31,trough,0.9666666666666691,低点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2008-03-31,peak,8.500000000000002,高点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2009-06-30,trough,-1.633333333333331,低点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2011-07-31,peak,6.251000000000002,高点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2015-04-30,trough,1.3719000000000026,低点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2016-03-31,peak,2.3097520000000027,高点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2017-03-31,trough,0.966666666666669,低点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2020-01-31,peak,5.033333333333336,高点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2021-01-31,trough,-0.09999999999999763,低点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2022-08-31,peak,2.666666666666669,高点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2023-12-31,trough,-0.533333333333331,低点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2024-08-31,peak,0.5000000000000023,高点
robust_median_then_3m_ma,inflation,M0000612,中国:CPI:当月同比,2025-08-31,trough,-0.23333333333333103,低点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2008-03-31,peak,57.0,高点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2008-11-30,trough,41.53333333333334,低点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2009-12-31,peak,55.86666666666667,高点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2012-08-31,trough,49.699999999999996,低点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2013-10-31,peak,51.300000000000004,高点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2015-12-31,trough,49.56666666666666,低点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2017-10-31,peak,51.93333333333334,高点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2019-01-31,trough,49.36666666666667,低点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2020-11-30,peak,51.800000000000004,高点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2022-11-30,trough,48.06666666666667,低点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2025-02-28,peak,50.300000000000004,高点
robust_median_then_3m_ma,growth,M0017126,中国:制造业PMI,2025-10-31,trough,49.333333333333336,低点
