date,growth_value,inflation_value,growth_phase,inflation_phase,macro_state
2005-01-31,54.6,2.7333333333333356,上行,下行,增长上行 / 通胀下行
2005-02-28,55.699999999999996,2.8333333333333357,上行,下行,增长上行 / 通胀下行
2005-03-31,56.36666666666667,2.8000000000000025,上行,下行,增长上行 / 通胀下行
2005-04-30,55.833333333333336,2.1000000000000023,上行,下行,增长上行 / 通胀下行
2005-05-31,53.76666666666667,1.7333333333333358,上行,下行,增长上行 / 通胀下行
2005-06-30,51.900000000000006,1.7333333333333358,上行,下行,增长上行 / 通胀下行
2005-07-31,51.800000000000004,1.566666666666669,上行,下行,增长上行 / 通胀下行
2005-08-31,52.93333333333334,1.3333333333333357,上行,下行,增长上行 / 通胀下行
2005-09-30,53.93333333333334,1.1333333333333357,上行,下行,增长上行 / 通胀下行
2005-10-31,54.43333333333334,1.1333333333333357,上行,下行,增长上行 / 通胀下行
2005-11-30,54.166666666666664,1.3666666666666691,上行,下行,增长上行 / 通胀下行
2005-12-31,53.5,1.6000000000000023,上行,下行,增长上行 / 通胀下行
2006-01-31,52.833333333333336,1.4666666666666692,上行,下行,增长上行 / 通胀下行
2006-02-28,53.166666666666664,1.2000000000000022,上行,下行,增长上行 / 通胀下行
2006-03-31,54.06666666666666,0.9666666666666691,上行,上行,增长上行 / 通胀上行
2006-04-30,54.96666666666667,1.1333333333333357,上行,上行,增长上行 / 通胀上行
2006-05-31,54.56666666666666,1.366666666666669,上行,上行,增长上行 / 通胀上行
2006-06-30,53.76666666666667,1.3000000000000025,上行,上行,增长上行 / 通胀上行
2006-07-31,53.199999999999996,1.266666666666669,上行,上行,增长上行 / 通胀上行
2006-08-31,54.166666666666664,1.266666666666669,上行,上行,增长上行 / 通胀上行
2006-09-30,54.93333333333334,1.4000000000000024,上行,上行,增长上行 / 通胀上行
2006-10-31,55.666666666666664,1.6000000000000025,上行,上行,增长上行 / 通胀上行
2006-11-30,54.93333333333334,1.8333333333333357,上行,上行,增长上行 / 通胀上行
2006-12-31,55.06666666666666,2.1000000000000028,上行,上行,增长上行 / 通胀上行
2007-01-31,55.0,2.3666666666666694,上行,上行,增长上行 / 通胀上行
2007-02-28,55.43333333333334,2.733333333333336,上行,上行,增长上行 / 通胀上行
2007-03-31,55.63333333333333,3.000000000000002,上行,上行,增长上行 / 通胀上行
2007-04-30,55.833333333333336,3.2333333333333356,上行,上行,增长上行 / 通胀上行
2007-05-31,55.300000000000004,3.6000000000000028,上行,上行,增长上行 / 通胀上行
2007-06-30,54.5,4.4666666666666694,上行,上行,增长上行 / 通胀上行
2007-07-31,53.93333333333334,5.500000000000003,上行,上行,增长上行 / 通胀上行
2007-08-31,54.46666666666667,6.100000000000002,上行,上行,增长上行 / 通胀上行
2007-09-30,54.43333333333334,6.400000000000002,上行,上行,增长上行 / 通胀上行
2007-10-31,54.9,6.533333333333336,上行,上行,增长上行 / 通胀上行
2007-11-30,54.63333333333333,6.633333333333336,上行,上行,增长上行 / 通胀上行
2007-12-31,54.56666666666666,6.833333333333336,上行,上行,增长上行 / 通胀上行
2008-01-31,53.9,7.4333333333333345,上行,上行,增长上行 / 通胀上行
2008-02-29,54.93333333333334,8.033333333333335,上行,上行,增长上行 / 通胀上行
2008-03-31,57.0,8.500000000000002,下行,下行,增长下行 / 通胀下行
2008-04-30,56.96666666666667,8.16666666666667,下行,下行,增长下行 / 通胀下行
2008-05-31,54.833333333333336,7.766666666666669,下行,下行,增长下行 / 通胀下行
2008-06-30,51.23333333333333,7.033333333333336,下行,下行,增长下行 / 通胀下行
2008-07-31,49.599999999999994,6.100000000000002,下行,下行,增长下行 / 通胀下行
2008-08-31,49.333333333333336,5.266666666666668,下行,下行,增长下行 / 通胀下行
2008-09-30,48.06666666666666,4.500000000000003,下行,下行,增长下行 / 通胀下行
2008-10-31,44.86666666666667,3.666666666666669,下行,下行,增长下行 / 通胀下行
2008-11-30,41.53333333333334,2.5333333333333354,上行,下行,增长上行 / 通胀下行
2008-12-31,41.766666666666666,1.5333333333333357,上行,下行,增长上行 / 通胀下行
2009-01-31,45.166666666666664,0.20000000000000231,上行,下行,增长上行 / 通胀下行
2009-02-28,48.9,-0.5999999999999976,上行,下行,增长上行 / 通胀下行
2009-03-31,51.63333333333333,-1.433333333333331,上行,下行,增长上行 / 通胀下行
2009-04-30,53.0,-1.3666666666666643,上行,下行,增长上行 / 通胀下行
2009-05-31,53.26666666666667,-1.5333333333333308,上行,下行,增长上行 / 通胀下行
2009-06-30,53.199999999999996,-1.633333333333331,上行,上行,增长上行 / 通胀上行
2009-07-31,53.5,-1.5666666666666644,上行,上行,增长上行 / 通胀上行
2009-08-31,53.86666666666667,-1.2666666666666642,上行,上行,增长上行 / 通胀上行
2009-09-30,54.5,-0.8333333333333309,上行,上行,增长上行 / 通胀上行
2009-10-31,54.9,-0.23333333333333098,上行,上行,增长上行 / 通胀上行
2009-11-30,55.666666666666664,0.6666666666666691,上行,上行,增长上行 / 通胀上行
2009-12-31,55.86666666666667,1.3333333333333357,下行,上行,增长下行 / 通胀上行
2010-01-31,54.800000000000004,2.0333333333333354,下行,上行,增长下行 / 通胀上行
2010-02-28,54.300000000000004,2.2000000000000024,下行,上行,增长下行 / 通胀上行
2010-03-31,54.26666666666667,2.6333333333333355,下行,上行,增长下行 / 通胀上行
2010-04-30,54.9,2.766666666666669,下行,上行,增长下行 / 通胀上行
2010-05-31,53.9,2.933333333333336,下行,上行,增长下行 / 通胀上行
2010-06-30,52.4,3.1000000000000028,下行,上行,增长下行 / 通胀上行
2010-07-31,51.666666666666664,3.2333333333333356,下行,上行,增长下行 / 通胀上行
2010-08-31,52.23333333333333,3.466666666666669,下行,上行,增长下行 / 通胀上行
2010-09-30,53.4,3.8333333333333357,下行,上行,增长下行 / 通胀上行
2010-10-31,54.56666666666666,4.200000000000003,下行,上行,增长下行 / 通胀上行
2010-11-30,54.6,4.633333333333336,下行,上行,增长下行 / 通胀上行
2010-12-31,54.0,4.800000000000003,下行,上行,增长下行 / 通胀上行
2011-01-31,53.0,4.91466666666667,下行,上行,增长下行 / 通胀上行
2011-02-28,52.833333333333336,5.075666666666669,下行,上行,增长下行 / 通胀上行
2011-03-31,52.833333333333336,5.223666666666669,下行,上行,增长下行 / 通胀上行
2011-04-30,52.76666666666667,5.414000000000002,下行,上行,增长下行 / 通胀上行
2011-05-31,51.93333333333333,5.670000000000003,下行,上行,增长下行 / 通胀上行
2011-06-30,51.199999999999996,6.0390000000000015,下行,上行,增长下行 / 通胀上行
2011-07-31,50.833333333333336,6.251000000000002,下行,下行,增长下行 / 通胀下行
2011-08-31,50.93333333333334,6.2230000000000025,下行,下行,增长下行 / 通胀下行
2011-09-30,50.833333333333336,5.904333333333336,下行,下行,增长下行 / 通胀下行
2011-10-31,50.666666666666664,5.262333333333335,下行,下行,增长下行 / 通胀下行
2011-11-30,50.36666666666667,4.5966666666666685,下行,下行,增长下行 / 通胀下行
2011-12-31,50.4,4.265000000000003,下行,下行,增长下行 / 通胀下行
2012-01-31,50.6,3.923333333333336,下行,下行,增长下行 / 通胀下行
2012-02-29,51.53333333333333,3.7666666666666693,下行,下行,增长下行 / 通胀下行
2012-03-31,52.46666666666667,3.4000000000000026,下行,下行,增长下行 / 通胀下行
2012-04-30,52.26666666666667,3.3333333333333357,下行,下行,增长下行 / 通胀下行
2012-05-31,51.300000000000004,2.8666666666666694,下行,下行,增长下行 / 通胀下行
2012-06-30,50.23333333333333,2.333333333333336,下行,下行,增长下行 / 通胀下行
2012-07-31,49.833333333333336,2.0000000000000027,下行,下行,增长下行 / 通胀下行
2012-08-31,49.699999999999996,1.9000000000000028,上行,下行,增长上行 / 通胀下行
2012-09-30,49.73333333333334,1.8666666666666691,上行,下行,增长上行 / 通胀下行
2012-10-31,50.199999999999996,1.8666666666666691,上行,下行,增长上行 / 通胀下行
2012-11-30,50.46666666666667,2.0666666666666695,上行,下行,增长上行 / 通胀下行
2012-12-31,50.53333333333333,2.176833333333336,上行,下行,增长上行 / 通胀下行
2013-01-31,50.36666666666667,2.305533333333336,上行,下行,增长上行 / 通胀下行
2013-02-28,50.46666666666667,2.1620666666666692,上行,下行,增长上行 / 通胀下行
2013-03-31,50.53333333333333,2.2806000000000024,上行,下行,增长上行 / 通胀下行
2013-04-30,50.76666666666667,2.2806000000000024,上行,下行,增长上行 / 通胀下行
2013-05-31,50.5,2.480200000000002,上行,下行,增长上行 / 通胀下行
2013-06-30,50.4,2.5762000000000027,上行,下行,增长上行 / 通胀下行
2013-07-31,50.46666666666666,2.6363666666666696,上行,下行,增长上行 / 通胀下行
2013-08-31,50.800000000000004,2.7642000000000024,上行,下行,增长上行 / 通胀下行
2013-09-30,51.166666666666664,2.8788333333333362,上行,下行,增长上行 / 通胀下行
2013-10-31,51.300000000000004,3.0293000000000023,下行,下行,增长下行 / 通胀下行
2013-11-30,51.26666666666667,2.844900000000002,下行,下行,增长下行 / 通胀下行
2013-12-31,50.96666666666667,2.6676000000000024,下行,下行,增长下行 / 通胀下行
2014-01-31,50.56666666666666,2.311966666666669,下行,下行,增长下行 / 通胀下行
2014-02-28,50.333333333333336,2.2740000000000022,下行,下行,增长下行 / 通胀下行
2014-03-31,50.29999999999999,2.0457666666666694,下行,下行,增长下行 / 通胀下行
2014-04-30,50.5,2.221166666666669,下行,下行,增长下行 / 通胀下行
2014-05-31,50.73333333333333,2.2049333333333356,下行,下行,增长下行 / 通胀下行
2014-06-30,51.166666666666664,2.3662000000000023,下行,下行,增长下行 / 通胀下行
2014-07-31,51.26666666666667,2.204066666666669,下行,下行,增长下行 / 通胀下行
2014-08-31,51.300000000000004,1.967866666666669,下行,下行,增长下行 / 通胀下行
2014-09-30,51.0,1.7398333333333358,下行,下行,增长下行 / 通胀下行
2014-10-31,50.73333333333333,1.555966666666669,下行,下行,增长下行 / 通胀下行
2014-11-30,50.4,1.5153333333333359,下行,下行,增长下行 / 通胀下行
2014-12-31,50.06666666666666,1.4586666666666692,下行,下行,增长下行 / 通胀下行
2015-01-31,49.93333333333334,1.4559333333333357,下行,下行,增长下行 / 通胀下行
2015-02-28,49.93333333333334,1.412666666666669,下行,下行,增长下行 / 通胀下行
2015-03-31,50.03333333333333,1.438666666666669,下行,下行,增长下行 / 通胀下行
2015-04-30,50.13333333333333,1.3719000000000026,下行,上行,增长下行 / 通胀上行
2015-05-31,50.166666666666664,1.376933333333336,下行,上行,增长下行 / 通胀上行
2015-06-30,50.13333333333333,1.4230000000000025,下行,上行,增长下行 / 通胀上行
2015-07-31,49.96666666666667,1.6645333333333356,下行,上行,增长下行 / 通胀上行
2015-08-31,49.833333333333336,1.732766666666669,下行,上行,增长下行 / 通胀上行
2015-09-30,49.76666666666667,1.6061333333333359,下行,上行,增长下行 / 通胀上行
2015-10-31,49.73333333333333,1.4495333333333358,下行,上行,增长下行 / 通胀上行
