指标名称,中国:建信高金宏观因子:增长因子
频率,月
单位,
指标ID,M6641380
来源,建信基金
2026-05-31,3.187202
2026-04-30,3.391337
2026-03-31,3.777512
2026-02-28,3.689215
2026-01-31,3.627906
2025-12-31,3.550049
2025-11-30,3.972118
2025-10-31,4.602699
2025-09-30,4.563419
2025-08-31,4.551732
2025-07-31,4.870343
2025-06-30,4.932203
2025-05-31,4.904989
2025-04-30,4.977745
2025-03-31,5.0384
2025-02-28,4.800669
2025-01-31,4.772215
2024-12-31,4.955188
2024-11-30,5.02326
2024-10-31,5.059311
2024-09-30,5.259825
2024-08-31,4.868894
2024-07-31,4.869021
2024-06-30,4.844489
2024-05-31,5.111667
2024-04-30,5.438471
2024-03-31,5.347082
2024-02-29,5.646108
2024-01-31,6.016576
2023-12-31,6.045171
2023-11-30,6.038191
2023-10-31,5.646071
2023-09-30,5.483302
2023-08-31,5.031986
2023-07-31,4.788177
2023-06-30,5.016405
2023-05-31,4.905814
2023-04-30,5.254635
2023-03-31,4.874597
2023-02-28,4.525577
2023-01-31,4.022881
2022-12-31,3.954581
2022-11-30,4.671044
2022-10-31,5.502418
2022-09-30,5.697509
2022-08-31,5.596954
2022-07-31,5.154224
2022-06-30,4.768961
2022-05-31,3.634826
2022-04-30,4.332404
2022-03-31,4.796534
2022-02-28,4.402797
2022-01-31,4.203913
2021-12-31,3.900274
2021-11-30,4.525942
2021-10-31,5.237529
2021-09-30,5.751863
2021-08-31,6.011979
2021-07-31,7.153227
2021-06-30,8.146725
2021-05-31,8.354764
2021-04-30,8.447716
2021-03-31,8.838604
2021-02-28,8.020882
2021-01-31,7.468118
2020-12-31,6.153792
2020-11-30,5.797268
2020-10-31,5.306415
2020-09-30,5.241798
2020-08-31,4.990553
2020-07-31,4.92498
2020-06-30,4.835137
2020-05-31,4.526077
2020-04-30,4.464654
2020-03-31,3.780264
2020-02-29,4.145645
2020-01-31,4.915481
2019-12-31,5.653377
2019-11-30,5.482331
2019-10-31,5.096358
2019-09-30,5.370091
2019-08-31,5.187251
2019-07-31,5.402474
2019-06-30,5.555262
2019-05-31,5.274119
2019-04-30,5.251213
2019-03-31,5.773773
2019-02-28,5.437804
2019-01-31,5.413254
2018-12-31,5.386439
2018-11-30,5.222297
2018-10-31,5.44802
2018-09-30,5.639037
2018-08-31,5.64805
2018-07-31,5.647086
2018-06-30,5.822335
2018-05-31,5.97264
2018-04-30,5.957357
2018-03-31,5.945813
2018-02-28,5.977688
2018-01-31,5.968156
2017-12-31,5.92328
2017-11-30,5.879878
2017-10-31,5.994296
2017-09-30,6.277396
2017-08-31,6.3235
2017-07-31,6.852993
2017-06-30,6.672725
2017-05-31,6.57198
2017-04-30,6.827718
2017-03-31,7.112789
2017-02-28,6.91081
2017-01-31,6.663453
2016-12-31,6.469192
2016-11-30,6.66697
2016-10-31,6.573162
2016-09-30,6.62049
2016-08-31,6.672834
2016-07-31,6.290778
2016-06-30,6.04345
2016-05-31,5.847542
2016-04-30,5.851684
2016-03-31,6.319929
2016-02-29,5.624403
2016-01-31,5.463207
2015-12-31,5.259063
2015-11-30,5.495867
2015-10-31,5.170399
2015-09-30,5.309029
2015-08-31,5.760897
2015-07-31,5.599394
2015-06-30,5.927113
2015-05-31,5.82427
2015-04-30,5.91755
2015-03-31,5.80168
2015-02-28,5.840932
2015-01-31,6.730366
2014-12-31,7.406901
2014-11-30,7.205785
2014-10-31,7.25758
2014-09-30,7.955662
2014-08-31,7.847877
2014-07-31,8.716936
2014-06-30,9.136857
2014-05-31,9.171991
2014-04-30,9.027828
2014-03-31,9.374231
2014-02-28,10.08148
2014-01-31,9.296489
2013-12-31,8.890015
2013-11-30,9.061163
2013-10-31,9.252041
2013-09-30,9.460794
2013-08-31,9.551234
2013-07-31,9.453814
2013-06-30,9.218916
2013-05-31,8.942228
2013-04-30,8.747018
2013-03-31,8.727312
2013-02-28,8.872463
2013-01-31,9.099842
2012-12-31,9.284681
2012-11-30,9.331193
2012-10-31,9.212721
2012-09-30,8.967645
2012-08-31,8.711264
2012-07-31,8.609359
2012-06-30,8.777781
2012-05-31,9.25317
2012-04-30,9.959004
2012-03-31,10.749249
2012-02-29,11.516041
2012-01-31,12.164271
2011-12-31,12.642725
2011-11-30,13.020774
2011-10-31,13.387574
2011-09-30,13.787314
2011-08-31,14.220523
2011-07-31,14.599347
2011-06-30,14.809606
2011-05-31,14.776938
2011-04-30,14.516444
2011-03-31,14.095613
2011-02-28,13.612025
2011-01-31,13.208621
2010-12-31,13.029287
2010-11-30,13.071749
2010-10-31,13.314849
2010-09-30,13.730732
2010-08-31,14.239466
2010-07-31,14.778128
2010-06-30,15.284587
2010-05-31,15.716886
2010-04-30,16.0655
2010-03-31,16.351535
2010-02-28,16.566261
2010-01-31,16.670516
2009-12-31,16.615501
2009-11-30,16.382731
2009-10-31,15.92989
2009-09-30,15.22528
2009-08-31,14.323846
2009-07-31,13.333314
2009-06-30,12.363628
2009-05-31,11.499607
2009-04-30,10.723574
2009-03-31,10.000363
2009-02-28,9.356454
2009-01-31,8.794387
2008-12-31,8.304135
数据来源：Wind
