date,growth_prob,inflation_prob,growth_high,inflation_high,model_quadrant,model,actual_growth_score,actual_inflation_score,actual_growth_high,actual_inflation_high,actual_quadrant,growth_match,inflation_match,quadrant_match
2006-01-31,0.8142647412964157,0.6207694577207842,True,True,过热,模型A：均值—方差切换,0.4073169104522778,0.14973398492933282,True,True,过热,True,True,True
2006-02-28,0.9027423704259808,0.4856169914187325,True,False,复苏,模型A：均值—方差切换,0.9470466006893414,-0.11791458440576813,True,False,复苏,True,True,True
2006-03-31,0.9999986753382015,0.4818742469617201,True,False,复苏,模型A：均值—方差切换,1.3914776275827943,-0.20186302390600258,True,False,复苏,True,True,True
2006-04-30,0.9999864707283586,0.4874341125619484,True,False,复苏,模型A：均值—方差切换,1.8388254925569156,-0.1652856863123435,True,False,复苏,True,True,True
2006-05-31,0.9999996802331241,0.498124415849474,True,False,复苏,模型A：均值—方差切换,1.3033696278433267,-0.05058283760650184,True,False,复苏,True,True,True
2006-06-30,0.9999967654143247,0.49981570967269007,True,False,复苏,模型A：均值—方差切换,1.2850858079075551,0.0965335128686027,True,True,过热,True,False,False
2006-07-31,0.9985173780969402,0.4999859164662457,True,False,复苏,模型A：均值—方差切换,0.7595517784807821,-0.028425100083176558,True,False,复苏,True,True,True
2006-08-31,0.9988583369489995,0.4998435637269375,True,False,复苏,模型A：均值—方差切换,0.8210139736355202,0.03059185859950278,True,True,过热,True,False,False
2006-09-30,0.9999834881048048,0.49992805633963266,True,False,复苏,模型A：均值—方差切换,1.593173842867329,0.09431709493965987,True,True,过热,True,False,False
2006-10-31,0.9975725301193907,0.5013611715514404,True,True,过热,模型A：均值—方差切换,1.0540240808869885,0.0015029837236540944,True,True,过热,True,True,True
2006-11-30,0.9961164963090676,0.5172036955567622,True,True,过热,模型A：均值—方差切换,1.1827821473577962,0.1198123428886049,True,True,过热,True,True,True
2006-12-31,0.9973565712320214,0.522384072449523,True,True,过热,模型A：均值—方差切换,1.0730849600088463,0.39216918988118366,True,True,过热,True,True,True
2007-01-31,0.9999999755101017,0.5081030612798337,True,True,过热,模型A：均值—方差切换,1.8506268239441583,0.25640392908428256,True,True,过热,True,True,True
