date,code,indicator,model,full_prob_high,partial_prob_high,full_regime,partial_regime
2006-01-31,M0000612,CPI,模型A：均值—方差切换,0.3135356829159831,0.5870034145748261,低位区制,高位区制
2006-02-28,M0000612,CPI,模型A：均值—方差切换,0.007261802449321422,0.3349848914560844,低位区制,低位区制
2006-03-31,M0000612,CPI,模型A：均值—方差切换,1.4659199305675394e-05,0.2550743075314164,低位区制,低位区制
2006-04-30,M0000612,CPI,模型A：均值—方差切换,0.0001435117683376343,0.16141477297603832,低位区制,低位区制
2006-05-31,M0000612,CPI,模型A：均值—方差切换,0.0010018225842962193,0.14018017104482053,低位区制,低位区制
2006-06-30,M0000612,CPI,模型A：均值—方差切换,0.00038941312741199737,0.1464993669105637,低位区制,低位区制
2006-07-31,M0000612,CPI,模型A：均值—方差切换,1.0328328125226817e-05,0.20500825688595375,低位区制,低位区制
2006-08-31,M0000612,CPI,模型A：均值—方差切换,4.796226125514957e-06,0.28232595648023073,低位区制,低位区制
2006-09-30,M0000612,CPI,模型A：均值—方差切换,1.0005156861397352e-05,0.3433944282648505,低位区制,低位区制
2006-10-31,M0000612,CPI,模型A：均值—方差切换,0.0035012179931375835,0.3969183515176171,低位区制,低位区制
2006-11-30,M0000612,CPI,模型A：均值—方差切换,0.034741965752694455,0.5710973867949309,低位区制,高位区制
2006-12-31,M0000612,CPI,模型A：均值—方差切换,0.04535837139627771,0.6574702691196527,低位区制,高位区制
2007-01-31,M0000612,CPI,模型A：均值—方差切换,0.02324082494980179,0.658925569099672,低位区制,高位区制
2007-02-28,M0000612,CPI,模型A：均值—方差切换,0.12165165100670061,0.7453612971936248,低位区制,高位区制
2007-03-31,M0000612,CPI,模型A：均值—方差切换,0.8767791878072289,0.9840838624819581,高位区制,高位区制
2007-04-30,M0000612,CPI,模型A：均值—方差切换,0.9539943620429185,0.9937957687438441,高位区制,高位区制
2007-05-31,M0000612,CPI,模型A：均值—方差切换,0.9850949424379176,0.9972648174117674,高位区制,高位区制
2007-06-30,M0000612,CPI,模型A：均值—方差切换,0.9993387957330753,0.999958769570346,高位区制,高位区制
