指标名称,中国:社会消费品零售总额:当月同比(1-2月合并),中国:社会消费品零售总额:累计同比,中国:社会消费品零售总额:当月值,中国:固定资产投资完成额:累计同比,中国:新增固定资产投资完成额:累计同比,中国:固定资产投资完成额:第一产业:累计同比,中国:固定资产投资完成额:第二产业:累计同比,中国:固定资产投资完成额:第三产业:累计同比,中国:房地产开发投资完成额:累计值,中国:固定资产投资完成额(扣除房地产开发投资):累计同比,中国:房地产开发投资完成额:累计同比,中国:占固定资产投资完成额比重:房地产开发,中国:CPI:当月同比,中国:CPI:食品:当月同比,中国:CPI:非食品:当月同比,中国:CPI:不包括食品和能源(核心CPI):当月同比,中国:CPI:环比,中国:CPI:食品:环比,中国:CPI:非食品:环比,中国:CPI:不包括食品和能源(核心CPI):环比,中国:PPI:当月同比,中国:PPI:环比,中国:PPI:生产资料:当月同比,中国:PPI:生产资料:采掘工业:当月同比,中国:PPI:生产资料:原材料工业:当月同比,中国:PPI:生产资料:加工工业:当月同比,中国:PPI:生活资料:食品类:当月同比,中国:PPI:生活资料:衣着类:当月同比,中国:PPI:生活资料:一般日用品类:当月同比,中国:PPI:生活资料:耐用消费品类:当月同比,中国:M0,中国:M0:同比,中国:M0:初值,中国:M1,中国:M1:同比,中国:M1:初值,中国:M2,中国:M2:同比,中国:M2:初值,中国:社会融资规模存量:同比,中国:社会融资规模:当月值:初值,中国:金融机构:新增人民币贷款:当月值,中国:金融机构各项贷款余额:中长期:人民币,中国:进出口金额:人民币:当月同比,中国:出口金额:人民币:当月同比,中国:进口金额:人民币:当月同比,中国:进出口金额:人民币:当月值,中国:出口金额:人民币:当月值,中国:进口金额:人民币:当月值,中国:贸易差额:当月值,中国:贸易差额:累计值,中国:贸易差额:当月同比,中国:贸易差额:人民币:当月值,中国:贸易差额:人民币:累计值,中国:制造业PMI,中国:制造业PMI:生产,中国:制造业PMI:新订单,中国:非制造业PMI:商务活动,中国:非制造业PMI:新订单
频率,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月
单位,%,%,亿元,%,%,%,%,%,亿元,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,亿元,%,亿元,亿元,%,亿元,亿元,%,亿元,%,亿元,亿元,亿元,%,%,%,亿元,亿元,亿元,亿美元,亿美元,%,亿元,亿元,%,%,%,%,%
指标ID,M0001428,M0001440,M0001427,M0000273,M0000275,M0000277,M0000279,M0000281,S0029656,D4896022,S0029657,M5207653,M0000612,M0000616,M0000613,M0085932,M0000705,M0000706,M0061581,M0085934,M0001227,M0049160,M0001228,M0001229,M0001230,M0001231,M0001233,M0001234,M0001235,M0001236,M0001380,M0001381,M5541318,M0001382,M0001383,M5541319,M0001384,M0001385,M5541320,M5525763,M5541321,M0009973,M0043418,M5469146,M5469147,M5469148,M5447790,M5447791,M5447792,M0000610,M0096210,M0000611,M5447793,M5447797,M0017126,M0017127,M0017128,M0048236,M0048237
来源,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,中国人民银行,中国人民银行,中国人民银行,中国人民银行,中国人民银行,中国人民银行,中国人民银行,中国人民银行,中国人民银行,中国人民银行,中国人民银行,中国人民银行,中国人民银行,海关总署,海关总署,海关总署,海关总署,海关总署,海关总署,海关总署,海关总署,海关总署,海关总署,海关总署,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局
2026-05-31,-0.6,1.4,41090,-4.1,,5.9,0.1,-6.8,30356,-1.2,-16.2,17.005019,1.2,-1.7,1.9,1.1,-0.1,-0.4,-0.1,-0.1,3.9,0.5,5.2,15.8,9.2,2.3,-1.8,-1,-1,0,146854.71,11.9,146900,1148891.4100000001,5.5,1148900,3536688.9199999995,8.6,3536700,7.7,20293,5200,1860035.55,16.9,13.8,21.5,44515.72483,25877.77141,18637.95341,1054.335842,4517.057962,2.646888,7239.817996,31446.35964,50,51.2,49.9,50.1,45
2026-04-30,0.2,1.9,37246.5,-1.6,,10.1,2.5,-4.2,23969.4,1.3,-13.7,16.964322,1.2,-1.6,1.8,1.2,0.3,-1.6,0.7,0.2,2.8,1.7,3.8,10.6,7.1,1.5,-1.9,-1.1,-1.1,-0.3,147477.38,12.2,147500,1145833.73,5,1145800,3530425.21,8.6,3530400,7.8,6207,-100,1860800.88,14.1,9.7,20.5,43751.74341,24799.3683,18952.37511,846.857715,3462.72212,-11.664501,5846.993194,24206.54165,50.3,51.5,50.6,49.4,44.3
2026-03-31,1.7,2.4,41616,1.7,,15.9,5.8,-1,17719.91,4.8,-11.2,17.252707,1,0.3,1.2,1.1,-0.7,-2.7,-0.2,-0.7,0.5,1,1,2,1.1,0.9,-1.7,-1.1,-1.4,-1,147082.81,12.5,147100,1193202.99,5.1,1193200,3538636.53,8.5,3538600,7.9,52260,29900.000000000004,1868297.06,9.4,-0.7,24.3,41113.74176,22296.71697,18817.02479,501.57858,2615.864405,-50.777892,3479.692182,18359.54845,50.4,51.4,51.6,50.1,45
2026-02-28,2.8,2.8,,1.8,,17.4,5.4,-0.4,9612.11,5.2,-11.1,18.232033,1.3,1.7,1.3,1.8,1,1.9,0.8,0.7,-0.9,0.4,-0.7,-5.3,-1.9,0.3,-1.8,-1,-1.8,-1.6,151436.41,14.1,151400,1159258.82,5.9,1159300,3492159.9099999997,9,3492200,8.2,23792,9000,1851841.3,24.6,36,11.2,35653.54066,20988.50802,14665.03264,902.40835,2114.285824,189.334169,6323.475378,14879.85627,49,49.6,48.6,49.5,45.2
2026-01-31,,,,,,,,,,,,,0.2,-0.7,0.4,0.8,0.2,0,0.2,0.3,-1.4,0.4,-1.3,-8.1,-2,-0.4,-1.9,-0.7,-1.8,-1.8,146138.59999999998,2.7,146100,1179680.5199999998,4.9,1179700,3471860.39,9,3471900,8.2,72200,47100,1844697.93,13.8,8,24,41792.64026,25174.51058,16618.12969,1211.877474,1211.877474,-12.126201,8556.380893,8556.380893,49.3,50.6,49.2,49.4,46.1
2025-12-31,0.9,3.7,45135.9,-3.8,,2.3,2.5,-7.4,82788.14,-0.5,-17.2,17.063176,0.8,1.1,0.8,1.2,0.2,0.3,0.1,0.2,-1.9,0.2,-2.1,-4.7,-2.6,-1.6,-1.5,-0.1,1.4,-3.5,141261.37,10.2,141300,1155146.5,3.8,1155100,3402948.0600000005,8.5,3402900,8.3,22080,9100,1809472.47,5.010106,5.080577,4.907464,42684.50807,25325.46997,17359.03811,1124.370332,11813.079841,6.903698,7966.431859,84547.19204,50.1,51.7,50.8,50.2,47.3
